우체국구분코드,우체국우편번호,관내우체국명,지방청명,총괄국명,우체국주소,우체국전화번호,우체국FAX번호,우편영업시간,금융영업시간
20664,26209,마차우체국,강원청,영월우체국,강원특별자치도 영월군 북면 마차중앙1길 44-3,033-372-3002,033-372-4980,09:00~18:00,09:00~16:30
53270,57624,토지우체국,전남청,구례우체국,전남 구례군 토지면 섬진강대로 5042,061-781-0054,061-781-0554,09:00~18:00,09:00~16:30
53243,57602,구례산동우체국,전남청,구례우체국,전남 구례군 산동면 원촌길 109,061-781-1560,061-781-1560,09:00~18:00,09:00~16:30
53252,57611,광의우체국,전남청,구례우체국,전남 구례군 광의면 구만제로 336-1,061-781-0047,061-781-1954,09:00~18:00,09:00~16:30
53289,57628,간전우체국,전남청,구례우체국,전남 구례군 간전면 안음길 4,061-781-0051,061-781-0053,09:00~18:00,09:00~16:30
21036,24015,동송우체국,강원청,철원우체국,강원특별자치도 철원군 동송읍 이평로 27,033-455-2000,033-455-0294,09:00~18:00,09:00~16:30
71018,42981,달성공단우체국,경북청,달성우체국,대구 달성군 논공읍 논공중앙로33길 9,053-615-5300,053-616-6814,09:00~18:00,09:00~16:30
53261,57617,구례마산우체국,전남청,구례우체국,전남 구례군 마산면 화엄사로 137,061-781-0050,0505-005-1874,09:00~18:00,09:00~16:30
53225,57630,문척우체국,전남청,구례우체국,전남 구례군 문척면 수달생태로 271,061-781-0052,0505-005-1874,09:00~18:00,09:00~16:30
53234,57612,용방우체국,전남청,구례우체국,전남 구례군 용방면 용방로 479,061-782-0053,0505-005-1874,09:00~18:00,09:00~16:30
20182,24042,철원우체국,강원청,철원우체국,강원특별자치도 철원군 갈말읍 삼부연로 25,033-452-2900,0505-005-2243,09:00~18:00,09:00~16:30
21536,24006,구철원우체국,강원청,철원우체국,강원특별자치도 철원군 철원읍 금학로 285,033-455-7004,033-455-9308,09:00~18:00,09:00~16:30
21063,24059,와수우체국,강원청,철원우체국,강원특별자치도 철원군 서면 와수로 163-1,033-458-2000,033-458-6959,09:00~18:00,09:00~16:30
21072,24064,철원근남우체국,강원청,철원우체국,강원특별자치도 철원군 근남면 하오재로 2066-1,033-458-1212,033-458-0915,09:00~18:00,09:00~16:30
62537,50222,삼가우체국,부산청,합천우체국,경남 합천군 삼가면 삼가1로67,055-932-4200,055-932-5934,09:00~18:00,09:00~16:30
62500,50246,초계우체국,부산청,합천우체국,경남 합천군 초계면 초계중앙로 15,055-932-1001,055-932-5936,09:00~18:00,09:00~16:30
64611,50201,합천가야우편취급국,부산청,합천우체국,경남 합천군 가야면 황산3길 8-9,055-930-3370,미운영,09:00~18:00,미운영
64568,50247,합천적중우체국,부산청,합천우체국,경남 합천군 적중면 적중로 90,055-932-2000,055-932-9743,09:00~18:00,09:00~16:30
64595,50248,합천덕곡우체국,부산청,합천우체국,경남 합천군 덕곡면 율지1길 20,055-933-5000,055-933-1794,09:00~18:00,09:00~16:30
13838,01905,서울월계시영취급국,서울청,서울노원우체국,서울 노원구 월계로 370(월계동) 희성프라자 116호,02-976-0110,미운영,09:00~18:00,미운영
13892,01818,서울공릉2동취급국,서울청,서울노원우체국,서울 노원구 공릉로 168(공릉2동),02-972-3095,미운영,09:00~18:00,미운영
75294,39909,왜관산업단지우체국,경북청,칠곡우체국,"경북 칠곡군 왜관읍 공단로4길 18-16,근로자종합복지관 1층",054-974-6100,054-974-6124,09:00~18:00,09:00~16:30
20173,24522,양구우체국,강원청,양구우체국,강원특별자치도 양구군 양구읍 관공서로 26,033-481-3800,0505-005-2228,09:00~18:00,09:00~16:30
52237,59562,소록우체국,전남청,고흥우체국,전남 고흥군 도양읍 소록선창길 120,061-844-0604,061-844-1392,09:00~18:00,09:00~16:30
51749,59559,도양우체국,전남청,고흥우체국,전남 고흥군 도양읍 녹동남촌2길 26,061-844-0100,061-842-0233,09:00~18:00,09:00~16:30
51712,59511,과역우체국,전남청,고흥우체국,전남 고흥군 과역면 고흥로 2959,061-832-1004,061-832-1355,09:00~18:00,09:00~16:30
51767,59564,고흥금산우체국,전남청,고흥우체국,전남 고흥군 금산면 거금중앙길 88-4,061-843-8004,061-844-1300,09:00~18:00,09:00~16:30
51730,59529,도화우체국,전남청,고흥우체국,전남 고흥군 도화면 중심길 56,061-832-7004,061-832-1316,09:00~18:00,09:00~16:30
11567,01849,서울공릉동우체국,서울청,서울노원우체국,서울 노원구 동일로 988(공릉1동),02-972-9000,02-975-5134,09:00~18:00,09:00~16:30
34015,27668,대소우체국,충청청,음성우체국,충북 음성군 대소면 오태로 80-6 (오산리),043-881-7001,미운영,09:00~18:00,09:00~16:30
10659,03502,서울수색우체국,서울청,서울은평우체국,서울 은평구 수색로 248(수색동),02-302-0205,02-302-2005,09:00~18:00,09:00~16:30
71867,38810,영천화남우체국,경북청,영천우체국,경북  영천시 화남면 천문로 1618-8,054-337-6900,054-337-3680,09:00~18:00,09:00~16:30
13909,01751,서울노원역취급국,서울청,서울노원우체국,서울 노원구 노해로 492(상계6.7동) 프린스빌딩202호,02-952-0440,0508-939-6754,09:00~18:00,미운영
51721,59509,남양우편취급국,전남청,고흥우체국,전남 고흥군 남양면 남양희망길 22,061-835-2001,061-835-2011,09:00~18:00,미운영
51758,59549,고흥풍양우체국,전남청,고흥우체국,전남 고흥군 풍양면 풍양로 12,061-832-5004,061-832-1356,09:00~18:00,09:00~16:30
74831,38842,영천교동우편취급국,경북청,영천우체국,경북 영천시 최무선로 214,054-331-6828,054-332-1026,09:00~18:00,미운영
10640,03335,서울갈현동우체국,서울청,서울은평우체국,"서울 은평구 서오릉로 190, 서울갈현동우체국",02-359-2005,02-359-2015,09:00~18:00,09:00~16:30
10631,03347,서울연신내우체국,서울청,서울은평우체국,서울 은평구 연서로 306(불광동),02-357-0004,02-388-2015,09:00~18:00,09:00~16:30
12948,03415,서울역촌동우편취급국,서울청,서울은평우체국,서울 은평구 갈현로 100(역촌동),02-354-1774,02-354-1701,09:00~18:00,미운영
12993,03344,서울불광2동우편취급국,서울청,서울은평우체국,서울 은평구 통일로80길 15(불광동),02-382-2205,02-382-2206,09:00~18:00,미운영
13034,03445,서울신사미성우편취급국,서울청,서울은평우체국,서울 은평구 은평터널로7길 2(신사동),02-373-6002,02-373-6010,09:00~18:00,미운영
21045,24054,김화우체국,강원청,철원우체국,강원특별자치도 철원군 김화읍 김화로 621,033-458-2122,033-458-0914,09:00~18:00,09:00~16:30
21965,24103,화천봉오취급국,강원청,화천우체국,"강원특별자치도 화천군 상서면 신월동로 8, (봉오리 492-13)",033-441-7041,033-441-9175,09:00~18:00,미운영
72284,37897,제209군사우체국,경북청,포항우체국,경북 포항시 남구 오천읍 충무로 70,054-292-4850,054-292-4852,08:30~17:30,08:30~16:30
13865,01754,서울상계한양취급국,서울청,서울노원우체국,서울 노원구 동일로216길 92(상계7동),02-938-2105,02-938-2105,09:00~18:00,미운영
70164,43003,달성우체국,경북청,달성우체국,대구 달성군 현풍읍 비슬로130길 7,053-611-1100,0505-005-2015,09:00~18:00,09:00~16:30
72588,38851,영천문외동우체국,경북청,영천우체국,경북 영천시 최무선로 325-1 (문외동),054-331-3001,054-332-3622,09:00~18:00,09:00~16:30
62439,50102,거창북상우체국,부산청,거창우체국,경남 거창군 북상면 덕유월성로 2309,055-942-5000,055-942-5220,09:00~18:00,09:00~16:30
53430,59502,동강우체국,전남청,고흥우체국,전남 고흥군 동강면 원유둔1길 29,061-833-3004,0505-005-1865,09:00~18:00,09:00~16:30
52246,59567,고흥동일우체국,전남청,고흥우체국,전남 고흥군 동일면 봉영로 1,061-833-6004,0505-005-1865,09:00~18:00,09:00~16:30
11487,01604,서울수락산우체국,서울청,서울노원우체국,서울 노원구 동일로 1693-6(상계1동),02-933-6508,02-933-6514,09:00~18:00,09:00~16:30
74617,39894,칠곡왜관리취급국,경북청,칠곡우체국,경북 칠곡군 왜관읍 중앙로 183,054-972-0486,054-972-1336,09:00~18:00,미운영
34006,27733,맹동우체국,충청청,음성우체국,충북 음성군 맹동면 덕금로 413-1 (쌍정리),043-878-9001,미운영,09:00~18:00,09:00~16:30
32815,27732,음성꽃동네우체국,충청청,음성우체국,충북 음성군 맹동면  꽃동네길 23 (인곡리),043-878-9801,미운영,09:00~18:00,09:00~16:30
31872,27649,삼성우체국,충청청,음성우체국,충북 음성군 삼성면  덕호로 3-1 (덕정리),043-878-5001,미운영,09:00~18:00,09:00~16:30
31881,27619,생극우체국,충청청,음성우체국,충북 음성군 생극면  음성로 1659 (신양리),043-878-4001,미운영,09:00~18:00,09:00~16:30
31890,27726,음성보천우편취급국,충청청,음성우체국,충북 음성군 원남면  보천로 75 (보룡리),043-872-5203,미운영,09:00~18:00,09:00~12:00
31907,27628,금왕우체국,충청청,음성우체국,충북 음성군 금왕읍 금석로107번길 2-2 (무극리),043-877-0800,미운영,09:00~18:00,09:00~16:30
51776,59569,나로도우체국,전남청,고흥우체국,전남 고흥군 봉래면 축정2길 105,061-833-7004,0505-005-1865,09:00~18:00,09:00~16:30
71027,43010,달성구지우체국,경북청,달성우체국,대구 달성군 구지면 창리로11길 18,053-614-4800,053-616-6813,09:00~18:00,09:00~16:30
72364,42972,달성옥포우체국,경북청,달성우체국,대구 달성군 옥포면 비슬로 2302,053-614-4200,053-616-6815,09:00~18:00,09:00~16:30
71189,40060,성주가천우체국,경북청,성주우체국,경북 성주군 가천면 창금로 311,054-932-4001,054-931-8444,09:00~18:00,09:00~16:30
70208,39886,칠곡우체국,경북청,칠곡우체국,경북 칠곡군 왜관읍 2번도로길 86,054-970-2553,0505-005-2039,09:00~18:00,09:00~16:30
10051,03306,서울은평우체국,서울청,서울은평우체국,서울 은평구 진관2로 29-8(진관동),02-350-3514,02-350-3599,09:00~18:00,09:00~16:30
73950,38807,영천화산우체국,경북청,영천우체국,경북 영천시 화산면 장수로 932,054-335-5001,054-336-3674,09:00~18:00,09:00~16:30
73969,38817,영천임고우체국,경북청,영천우체국,경북 영천시 임고면 운주로 21,054-335-7001,054-336-3675,09:00~18:00,09:00~16:30
73978,38814,영천자양우체국,경북청,영천우체국,경북 영천시 자양면 포은로 1625-7,054-336-8001,054-335-4623,09:00~18:00,09:00~16:30
73987,38907,영천북안우체국,경북청,영천우체국,경북 영천시 북안면 임포역길 91,054-333-6801,054-332-3624,09:00~18:00,09:00~16:30
73996,38869,영천청통우체국,경북청,영천우체국,경북 영천시 청통면 금송로 976,054-335-6001,054-336-3676,09:00~18:00,09:00~16:30
73941,38900,제135군사우편출장소,경북청,영천우체국,경북 영천시 고경면 호국로 495,054-332-2114,054-336-3673,09:00~12:00,미운영
74000,38911,영천대창우체국,경북청,영천우체국,경북 영천시 대창면 금창로 682,054-335-4001,054-336-3678,09:00~18:00,09:00~16:30
72953,40163,고령쌍림우체국,경북청,고령우체국,경북 고령군 쌍림면 대가야로 608,054-955-0001,054-956-0545,09:00~18:00,09:00~16:30
72962,40126,고령덕곡우편취급국,경북청,고령우체국,경북 고령군 덕곡면 덕운로 821,054-956-5701,054-956-6616,09:00~18:00,미운영
72917,40118,고령성산우체국,경북청,고령우체국,경북 고령군 성산면 성산로 902-4,054-954-4001,054-954-4731,09:00~18:00,09:00~16:30
72935,40123,고령운수우체국,경북청,고령우체국,경북 고령군 운수면 잣밭길 7,054-955-5002,054-956-0216,09:00~18:00,09:00~16:30
72971,40107,고령다산우체국,경북청,고령우체국,경북 고령군 다산면 상곡길 73,054-955-6001,054-956-1497,09:00~18:00,09:00~16:30
72926,40152,고령우곡우체국,경북청,고령우체국,경북 고령군 우곡면 도진3길 7,054-955-4401,054-955-4218,09:00~18:00,09:00~16:30
72748,42993,달성유가우체국,경북청,달성우체국,대구 달성군 유가읍 비슬로64길 52-4,053-614-2701,053-616-6817,09:00~18:00,09:00~16:30
60186,49036,부산영도우체국,부산청,부산영도우체국,부산 영도구 태종로 89 (대교동),051-400-5550,051-415-5271,09:00~18:00,09:00~16:30
71518,36216,봉화춘양우체국,경북청,봉화우체국,경북  봉화군 춘양면 춘양로 175,054-672-3300,054-673-3992,09:00~18:00,09:00~16:30
71527,36252,봉화명호우체국,경북청,봉화우체국,경북 봉화군 명호면 양지마을길 7-12,054-672-1001,054-673-7241,09:00~18:00,09:00~16:30
10622,03391,서울대조동우체국,서울청,서울은평우체국,서울 은평구 통일로71길 20(대조동),02-387-2005,02-356-2007,09:00~18:00,09:00~16:30
85414,08208,서울신도림우체국,서울청,서울구로우체국,"서울 구로구 경인로67길 23 2층 207호 (신도림동, 신도림2차푸르지오)",02-2637-3322,02-2637-4224,09:00~18:00,09:00~16:30
32342,30047,세종연서우체국,충청청,세종우체국,세종특별자치시 연서면 당산로 342 (봉암리),044-867-4004,044-867-6005,09:00~18:00,09:00~16:30
72980,39808,칠곡북삼우체국,경북청,칠곡우체국,경북 칠곡군 북삼읍 인평중앙로 38,054-972-4001,054-974-2141,09:00~18:00,09:00~16:30
71474,36126,영주휴천동우체국,경북청,영주우체국,영주시 선비로 55,054-634-0100,054-634-7803,09:00~18:00,09:00~16:30
71465,36080,영주하망동우체국,경북청,영주우체국,경북 영주시 중앙로 132,054-631-0001,054-631-0003,09:00~18:00,09:00~16:30
49132,21313,부평우체국,경인청,부평우체국,인천 부평구 길주로 415(청천동),032-500-4000,0505-005-1282,09:00~18:00,09:00~16:30
10131,01740,서울노원우체국,서울청,서울노원우체국,서울 노원구 중계로 123(중계본동),02-950-3226,050-5005-1195,09:00~18:00,09:00~16:30
74859,38897,영천작산동우편취급국,경북청,영천우체국,경북 영천시 범어1길 17,054-335-9307,054-332-8805,09:00~18:00,미운영
73003,39859,칠곡동명우체국,경북청,칠곡우체국,경북 칠곡군 동명면 금암중앙길 54,054-976-9001,054-976-3033,09:00~18:00,09:00~16:30
72999,39852,칠곡가산우체국,경북청,칠곡우체국,경북  칠곡군 가산면 경북대로 1566,054-971-7701,054-975-5357,09:00~18:00,09:00~16:30
73503,36230,봉화봉성우체국,경북청,봉화우체국,경북 봉화군 봉성면 봉명로 558,054-672-9001,054-673-7245,09:00~18:00,09:00~16:30
34935,32430,예산역전우체국,충청청,예산우체국,충남 예산군 예산읍 주교로 74-1(예산읍 산성리 342-2),041-335-2400,041-334-7663,09:00~18:00,09:00~16:30
60908,47552,부산연산1동우체국,부산청,부산연제우체국,부산 연제구 과정로 319,051-867-6732,051-866-9757,09:00~18:00,09:00~16:30
60935,47545,부산시청우체국,부산청,부산연제우체국,부산 연제구 중앙대로 1001,051-862-5009,051-862-5063,09:00~18:00,09:00~16:30
65136,47519,부산연산4동우편취급국,부산청,부산연제우체국,부산 연제구 거제천로230번길 61,051-853-7377,070-8250-7377,09:00~18:00,미운영
65154,47610,부산물만골우편취급국,부산청,부산연제우체국,"부산 연제구 연수로 110,경동메르빌상가 제10호",051-867-0205,051-867-5001,09:00~18:00,미운영
65127,47589,부산연일우편취급국,부산청,부산연제우체국,부산 연제구 쌍미천로 58,051-865-0208,051-865-0208,09:00~18:00,미운영
75249,37653,포항우편집중국,경북청,포항우편집중국,경북 포항시 북구 흥해읍 새마을로 379,054-230-7915,054-262-7910,09:00~18:00,미운영
73058,40038,성주월항우체국,경북청,성주우체국,경북 성주군 월항면 주산로 404-10,054-932-9001,054-931-8449,09:00~18:00,09:00~16:30
73021,40002,성주벽진우체국,경북청,성주우체국,경북 성주군 벽진면 벽봉로 59,054-932-7001,054-931-8447,09:00~18:00,09:00~16:30
73012,40013,성주초전우체국,경북청,성주우체국,경북 성주군 초전면 대장1길 28,054-932-8001,054-931-8448,09:00~18:00,09:00~16:30
73049,40053,성주용암우체국,경북청,성주우체국,경북 성주군 용암면 운용로 1024,054-932-2101,054-931-8442,09:00~18:00,09:00~16:30
73085,40064,성주수륜우체국,경북청,성주우체국,경북 성주군 수륜면 신파1길 10-7,054-932-3101,054-931-8443,09:00~18:00,09:00~16:30
73030,40045,성주선남우체국,경북청,성주우체국,경북 성주군 선남면 관화길 83-1,054-932-1001,054-931-8441,09:00~18:00,09:00~16:30
73067,40056,성주대가우체국,경북청,성주우체국,경북 성주군 대가면 여실길 5,054-932-6001,054-931-8446,09:00~18:00,09:00~16:30
73076,40059,성주금수강산우체국,경북청,성주우체국,경북 성주군 금수강산면 성주로 1900,054-932-5001,054-931-8445,09:00~18:00,09:00~16:30
10079,02098,서울중랑우체국,서울청,서울중랑우체국,서울 중랑구 망우로 271 (상봉동),02-2239-0599,0505-005-1199,09:00~18:00,09:00~16:30
30062,32840,대전우편집중국,충청청,대전우편집중국,충남 계룡시 두마면 사계로 184,042-602-1511,042-602-1715,09:00~18:00,미운영
85316,07328,여의도우체국,서울청,서울영등포우체국,서울 영등포구 여의나루로 60,02-783-0410,02-2675-5766,09:00~18:00,09:00~16:30
64559,50243,합천율곡우체국,부산청,합천우체국,경남 합천군 율곡면 동부로 586,055-933-3800,055-933-1793,09:00~18:00,09:00~16:30
64602,50209,합천묘산우체국,부산청,합천우체국,경남 합천군 묘산면 묘산로 153,055-932-6000,055-932-9742,09:00~18:00,09:00~16:30
64648,50240,합천대양우체국,부산청,합천우체국,경남 합천군 대양면 대야로 272,055-932-3700,055-932-5938,09:00~18:00,09:00~16:30
64620,50200,합천해인사우체국,부산청,합천우체국,경남 합천군 가야면 가야산로 1816,055-932-7200,055-932-9737,09:00~18:00,09:00~16:30
64666,50226,합천가회우체국,부산청,합천우체국,경남 합천군 가회면 황매산로 54,055-932-9100,055-932-5937,09:00~18:00,09:00~16:30
64657,50218,합천쌍백우편취급국,부산청,합천우체국,경남 합천군 쌍백면 쌍백중앙로 51,055-932-3503,미운영,09:00~18:00,미운영
64577,50252,합천쌍책우체국,부산청,합천우체국,경남 합천군 쌍책면 성산우회로 5,055-932-2501,055-932-9745,09:00~18:00,09:00~16:30
64586,50253,합천청덕우체국,부산청,합천우체국,경남 합천군 청덕면 동부로 1748,055-932-8600,055-932-9746,09:00~18:00,09:00~16:30
64639,50213,합천용주우체국,부산청,합천우체국,경남 합천군 용주면 황계폭포로 1160,055-933-3500,055-933-1792,09:00~18:00,09:00~16:30
49114,16900,용인보정동우체국,경인청,용인수지우체국,경기 용인시 기흥구 죽현로 47(보정동),031-889-4423,031-889-4425,09:00~18:00,09:00~16:30
10775,02024,서울신내동우체국,서울청,서울중랑우체국,서울중랑구 신내로17길 112 (신내동),02-3421-2005,02-3422-0727,09:00~18:00,09:00~16:30
71483,36026,영주풍기우체국,경북청,영주우체국,영주시 풍기읍 기주로 100,054-636-2007,054-637-7106,09:00~18:00,09:00~16:30
71509,36004,영주부석우체국,경북청,영주우체국,영주시 부석면 부석로 65-1,054-633-3115,054-634-7808,09:00~18:00,09:00~16:30
71830,38877,영천금호우체국,경북청,영천우체국,경북 영천시 금호읍 금호로 130,054-334-0001,054-336-3671,09:00~18:00,09:00~16:30
71858,38813,영천화북우체국,경북청,영천우체국,경북 영천시 화북면 화북길 56-1,054-337-6001,054-337-3670,09:00~18:00,09:00~16:30
71876,38901,영천고경우체국,경북청,영천우체국,경북 영천시 고경면 호국로 1081,054-336-3115,054-336-3672,09:00~18:00,09:00~16:30
73414,36169,영주이산우체국,경북청,영주우체국,영주시 이산면 이산로 639,054-637-2001,054-637-7104,09:00~18:00,09:00~16:30
73423,36174,영주평은우체국,경북청,영주우체국,경북 영주시 평은면 평은로 903,054-637-5001,054-637-7101,09:00~18:00,09:00~16:30
73432,36145,영주장수우체국,경북청,영주우체국,영주시 장수면 장수로 46,054-637-6001,054-637-7103,09:00~18:00,09:00~16:30
73441,36050,영주안정우체국,경북청,영주우체국,영주시 안정면 용주로 1409,054-634-6500,054-634-7805,09:00~18:00,09:00~16:30
73450,36171,영주문수우체국,경북청,영주우체국,영주시 문수면 문수로1363번길 25,054-637-0001,054-637-7102,09:00~18:00,09:00~16:30
60926,47594,부산연산동우체국,부산청,부산연제우체국,부산 연제구 연수로 197,051-863-2005,051-862-9013,09:00~18:00,09:00~16:30
60891,47534,부산거제동우체국,부산청,부산연제우체국,부산 연제구 해맞이로 87,051-504-0001,051-504-3714,09:00~18:00,09:00~16:30
